iter	Passed	Remaining
0	162	162415
1	165	82643
2	168	55863
3	169	42298
4	172	34239
5	176	29270
6	179	25450
7	181	22563
8	183	20253
9	185	18381
10	190	17136
11	193	15898
12	194	14797
13	195	13803
14	197	12936
15	198	12178
16	199	11508
17	200	10916
18	203	10497
19	204	10030
20	206	9609
21	207	9231
22	208	8866
23	209	8529
24	210	8218
25	211	7931
26	212	7667
27	213	7423
28	214	7193
29	217	7029
30	218	6833
31	219	6644
32	220	6457
33	221	6279
34	221	6110
35	222	5949
36	222	5796
37	223	5652
38	223	5515
39	224	5385
40	224	5261
41	225	5144
42	226	5031
43	226	4923
44	227	4825
45	227	4727
46	228	4632
47	229	4558
48	230	4475
49	231	4393
50	231	4315
51	232	4240
52	233	4165
53	233	4094
54	234	4025
55	234	3957
56	235	3893
57	235	3830
58	236	3772
59	237	3714
60	237	3658
61	238	3604
62	238	3551
63	239	3500
64	239	3451
65	240	3403
66	241	3357
67	241	3313
68	242	3269
69	244	3244
70	244	3203
71	245	3164
72	246	3125
73	246	3087
74	247	3052
75	248	3017
76	248	2982
77	249	2948
78	250	2914
79	250	2883
80	251	2850
81	251	2818
82	252	2785
83	252	2754
84	253	2725
85	254	2699
86	254	2671
87	255	2644
88	255	2617
89	256	2591
90	256	2565
91	257	2545
92	259	2526
93	259	2503
94	260	2481
95	261	2458
96	261	2436
97	262	2414
98	262	2392
99	263	2370
100	263	2349
101	264	2328
102	265	2307
103	265	2287
104	266	2268
105	266	2248
106	267	2231
107	268	2214
108	268	2196
109	269	2178
110	269	2160
111	270	2143
112	270	2127
113	271	2110
114	272	2099
115	273	2086
116	274	2070
117	275	2058
118	275	2043
119	276	2028
120	277	2013
121	277	1999
122	278	1984
123	278	1970
124	279	1956
125	279	1942
126	280	1927
127	281	1915
128	281	1903
129	282	1890
130	283	1877
131	283	1864
132	284	1852
133	284	1839
134	285	1827
135	285	1815
136	286	1803
137	287	1797
138	289	1790
139	289	1781
140	290	1771
141	291	1759
142	292	1750
143	292	1740
144	293	1729
145	293	1718
146	294	1708
147	295	1698
148	295	1688
149	296	1678
150	296	1668
151	297	1659
152	298	1649
153	298	1640
154	299	1630
155	299	1621
156	300	1612
157	300	1603
158	301	1593
159	302	1590
160	303	1582
161	304	1574
162	305	1566
163	305	1558
164	306	1550
165	306	1542
166	307	1534
167	308	1526
168	308	1518
169	309	1510
170	310	1503
171	310	1495
172	311	1488
173	311	1480
174	312	1473
175	313	1465
176	313	1458
177	314	1450
178	314	1443
179	315	1436
180	315	1429
181	317	1426
182	318	1420
183	318	1414
184	319	1407
185	320	1401
186	320	1394
187	321	1387
188	321	1381
189	322	1375
190	323	1368
191	323	1362
192	324	1355
193	324	1349
194	325	1343
195	326	1337
196	326	1331
197	327	1325
198	327	1318
199	328	1312
200	328	1307
201	329	1301
202	329	1295
203	330	1289
204	332	1289
205	333	1283
206	333	1278
207	334	1273
208	335	1268
209	335	1263
210	336	1258
211	336	1252
212	337	1247
213	338	1241
214	338	1236
215	339	1230
216	339	1225
217	340	1220
218	340	1215
219	341	1210
220	342	1205
221	342	1201
222	343	1196
223	343	1191
224	344	1186
225	345	1181
226	346	1179
227	347	1176
228	348	1172
229	349	1168
230	349	1164
231	350	1160
232	351	1155
233	351	1151
234	352	1146
235	352	1141
236	353	1137
237	353	1132
238	354	1128
239	355	1124
240	355	1120
241	356	1116
242	356	1111
243	357	1107
244	357	1103
245	358	1098
246	359	1094
247	359	1090
248	360	1088
249	362	1086
250	363	1085
251	366	1087
252	367	1084
253	367	1080
254	368	1076
255	368	1072
256	369	1068
257	370	1065
258	371	1061
259	371	1057
260	372	1054
261	373	1052
262	384	1078
263	385	1075
264	386	1072
265	387	1068
266	387	1064
267	388	1061
268	389	1057
269	389	1054
270	395	1064
271	396	1062
272	397	1059
273	399	1059
274	401	1058
275	402	1055
276	403	1052
277	403	1048
278	404	1045
279	405	1042
280	415	1062
281	416	1059
282	416	1056
283	417	1052
284	418	1049
285	418	1045
286	419	1042
287	420	1039
288	421	1035
289	428	1048
290	429	1047
291	430	1043
292	432	1042
293	436	1047
294	441	1055
295	443	1053
296	444	1051
297	444	1048
298	445	1044
299	446	1041
300	447	1038
301	447	1035
302	452	1040
303	459	1052
304	460	1050
305	462	1049
306	463	1046
307	464	1043
308	465	1040
309	465	1037
310	474	1051
311	476	1049
312	478	1049
313	479	1047
314	480	1044
315	481	1041
316	481	1038
317	482	1035
318	488	1043
319	490	1041
320	490	1038
321	491	1035
322	492	1032
323	493	1029
324	494	1026
325	495	1023
326	495	1020
327	496	1017
328	497	1014
329	497	1011
330	503	1016
331	503	1014
332	504	1010
333	505	1007
334	506	1005
335	507	1002
336	507	999
337	508	995
338	509	992
339	509	989
340	510	986
341	511	983
342	517	990
343	518	988
344	519	986
345	520	983
346	521	981
347	522	978
348	522	974
349	523	971
350	523	968
351	524	965
352	524	962
353	525	958
354	526	955
355	529	958
356	533	960
357	534	958
358	535	955
359	535	952
360	536	949
361	536	946
362	537	943
363	538	940
364	538	937
365	539	934
366	539	930
367	540	928
368	540	925
369	542	923
370	546	926
371	548	925
372	549	923
373	550	921
374	551	918
375	551	915
376	552	912
377	552	909
378	553	906
379	553	903
380	554	900
381	555	898
382	555	895
383	560	899
384	562	898
385	562	895
386	563	893
387	564	890
388	565	887
389	565	885
390	566	882
391	567	879
392	567	876
393	568	873
394	568	870
395	574	876
396	575	874
397	576	872
398	577	869
399	578	867
400	579	864
401	579	862
402	580	859
403	580	856
404	581	853
405	581	850
406	582	848
407	582	845
408	583	842
409	583	840
410	590	846
411	591	843
412	592	841
413	592	839
414	593	837
415	594	834
416	594	831
417	595	829
418	596	826
419	596	823
420	597	821
421	597	818
422	598	816
423	598	813
424	601	814
425	604	814
426	605	812
427	606	810
428	606	807
429	607	805
430	608	803
431	608	800
432	609	798
433	609	795
434	610	792
435	611	790
436	611	787
437	612	785
438	612	783
439	617	785
440	619	785
441	620	783
442	621	780
443	621	778
444	622	776
445	623	774
446	624	772
447	624	769
448	625	767
449	625	764
450	626	762
451	626	759
452	627	757
453	627	755
454	633	758
455	635	758
456	636	756
457	637	754
458	638	752
459	638	749
460	639	747
461	639	745
462	640	742
463	641	740
464	641	738
465	642	736
466	643	734
467	650	738
468	651	738
469	652	736
470	654	735
471	655	732
472	655	730
473	656	728
474	657	726
475	657	724
476	658	721
477	661	722
478	663	722
479	664	720
480	665	718
481	666	716
482	667	713
483	667	711
484	668	709
485	669	707
486	669	705
487	670	703
488	670	701
489	671	698
